,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Benin,,,,,,,,,,2.063507722,1.412672122,1.576005148,3.453039153,3.037188094,2.60842765,1.305887571,1.257599998,-0.20717549,-0.758072732,-0.272059687,0.193055003,-0.164845344,-0.594183411,-1.295558915,-0.934247141,0.276776421,-0.047505315,0.955852304,1.284441737,0.06600687,-0.34498968,0.207494176,-0.381217971,0.426558479,-0.138786873,-0.535194735,-0.076800548,0.554310328,0.740863689,1.267594951,1.432247314,1.359639677,1.545305889,1.795267165,
Bermuda,,,,,,,,,,,,,,,,,,,,,3.319346505,2.537353814,2.629655328,2.593386109,2.501839924,2.099458528,1.730802068,2.034800675,1.95984411,1.219526991,0.538896342,0.875051775,0.336860902,0.541884605,0.672486952,0.565707456,0.579932883,0.388885956,0.398024224,1.108722582,0.737584168,0.771057191,1.190079686,1.446998336,
Bhutan,,,,,,,,,,,,,,,,,,,,,5.804661297,5.716464564,5.788072955,5.907685916,6.432232866,5.552306251,6.134820432,7.402710981,7.23874526,5.833979376,3.795356116,3.828800757,3.568187859,2.916344589,2.58872948,3.723333916,3.261341826,2.952769828,3.528030318,3.27716302,3.515832574,3.343687335,3.630309732,4.545767098,
Bolivia,-1.699533271,-1.964010304,-1.993549134,0.03603064,0.419879156,0.632861,1.672764023,2.268206848,0.726802656,0.825831952,0.538932453,0.49385625,0.909080653,0.822407864,0.854184931,0.703211773,0.829814893,0.612279902,2.021890984,1.939919795,1.945785129,1.687273928,0.942148488,-0.379785552,-0.770681766,-1.406805785,-2.369594842,-2.404546652,-2.127843726,-2.027479647,-1.742182056,-1.517337505,-1.127423674,-0.109956501,0.292299132,0.759301386,1.359959283,1.288969478,1.321688472,1.320977387,1.268777434,1.220550527,1.334620334,1.265550129,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.353593527,8.831599744,12.47678067,15.19649365,
Botswana,,,,,,,,,,,,,,,,,,,,,8.847810626,6.790577029,7.067230909,7.230028917,6.076975978,5.844285849,5.774460771,5.7687761,5.646205836,6.716047456,6.914475818,8.107860633,6.856838445,5.58804541,5.72171489,4.477643448,4.535848159,4.252395198,4.01660524,1.925227199,3.009439379,3.145756883,2.617628064,3.285205148,4.365012862
Brazil,4.00401527,4.884043011,4.426506952,4.291361424,4.025710654,3.907507824,3.832832414,3.520159706,3.930073328,3.882735371,4.061641452,3.7430294,4.39014917,5.040707904,5.406757081,5.536611834,6.232584703,6.051528746,5.398399628,5.483164259,5.309331557,4.003536294,3.137270179,1.640514542,1.386326461,1.741553956,1.600802238,1.902235589,1.602484417,1.493592659,0.244115714,0.758881725,0.613159243,1.280325545,1.425539709,0.568652616,0.05023584,-0.259347073,-0.163043524,-0.443443839,0.514091272,0.462712318,0.418310341,0.618271199,
Brunei,,,,,,,,,,,,,,,,,,,,,4.298185673,1.448728797,0.81214091,0.195484207,-0.456452543,-0.6805612,-2.712336783,-3.560871067,-4.09817534,-6.080329078,-5.01576635,-2.329077953,-2.514825669,-2.64569662,-2.48041648,-2.082770792,-1.294896678,-1.12497702,-0.95905504,-1.229451007,-1.141793164,-1.161962021,-0.65743924,-0.175676463,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.967417301,-0.02051331,0.783073625,1.920393301
Burkina Faso,,,,,,,,,,-1.170095127,-1.142943014,0.115564192,0.417827575,0.400371723,0.514970451,0.751700757,0.935096818,0.721687834,0.110335078,0.363178308,0.798749869,1.723052203,1.209674434,1.040182206,0.561643199,1.253383244,1.58877541,1.749851426,2.344375572,2.029282263,1.032391313,0.88265586,0.627548342,0.80754223,1.430004273,0.49048858,0.098922295,-0.248206619,-0.568006705,0.379109293,1.18580789,0.869096733,1.430701291,2.585468422,2.325122251
Burundi,,,,,,,,,,,1.962155301,3.762321283,2.75588694,2.627890661,2.664550665,2.297389318,3.070896762,2.943172852,2.992093545,3.600762704,1.050607194,1.479696672,1.474761668,0.653308633,0.769804705,1.443793479,0.946451922,0.189256493,1.422916618,0.684553136,1.763946001,1.667731824,1.999238091,0.460092813,-0.109838817,-0.832772227,-1.969223811,-2.109916983,-2.952783276,-1.680923531,-4.131647862,-4.22196951,-3.65645038,-1.87312129,
Cambodia,,,,,,,,,,,,,,,,,,,,,-8.274473743,-7.719538053,-7.554784291,-5.940670802,-5.629775571,-5.846339527,-6.326757553,-4.963957295,-3.554674536,-2.323906854,-1.638952158,-0.997685992,0.030572852,0.788350198,1.606830606,1.589867951,2.6623039,3.24683837,1.71570502,2.035217421,2.838819438,2.798613679,2.567344259,2.630637774,
Cameroon,,,,,,,,,,,0.083432628,-0.122704388,-0.156717133,-0.016251944,0.132060757,0.040102609,0.028648307,1.349977518,1.107796425,1.204871943,1.983093312,3.229256309,4.994361036,5.359076133,5.090202006,5.924526994,5.726011954,4.204395051,3.701015071,2.002089258,1.289003527,-0.255248855,-2.518287674,-3.527887183,-4.194577022,-4.951443206,-4.771269285,-3.032437942,-2.316027511,-1.197295236,-0.863968285,-0.084375222,0.902911238,1.7258911,
Canada,1.386794194,1.117636871,1.101614702,1.312752038,2.305859537,2.269594156,2.128922651,2.274370134,2.65211433,2.892158933,2.967255239,3.343330803,3.197028795,3.370879143,3.016945608,2.693455905,2.659383561,2.92993257,2.880325783,2.785257044,2.807140784,2.560895454,1.771378732,1.483029018,1.790047703,2.021763304,1.770300834,1.814717284,1.871180105,1.752931835,1.538691796,0.971318853,1.390873808,1.312615714,1.262952888,1.119472441,1.057128173,1.144875556,1.158580411,1.512021505,2.107527228,2.559121806,2.785648434,2.745133198,2.512726479
Cape Verde,,,,,,,,,,,4.335417432,3.410021171,4.382008025,4.18558388,3.786739558,3.010618557,1.417439061,-0.325127444,-0.791159464,-0.192270601,-0.835641329,-0.177290491,-0.222371701,1.731942809,1.827406661,3.934853184,3.881222644,3.776693877,4.442016674,4.437386781,4.01871438,3.661098722,3.473866,2.958829916,2.239639368,2.524618434,2.453545709,3.525796435,3.596718175,4.22430316,5.704810296,5.032801653,5.231312193,4.895490677,
Central African Republic,,,,,,,,,,,,,,,,,,,,,-0.433525615,0.793739373,1.203834757,0.016934807,0.442775969,0.308754222,0.119821697,-0.953628297,-1.847585687,-1.217999331,-0.62487271,-0.835209107,-2.950993232,-2.271453871,-2.690081279,-2.289820047,-2.889338186,-2.107268054,-2.036469796,-0.965827984,-0.618624515,-0.216411387,1.551742313,1.486263471,
Chad,,,,,,,,,,,-1.265618611,-1.41380117,-3.491139365,-3.20004548,-2.326374177,-1.588147552,-1.116086951,-1.236327805,-1.235877947,-3.570576798,-4.510306864,-4.624809995,-3.668323325,-1.876274295,-2.231985356,-1.337843236,-1.342005084,-1.046134589,0.304030925,3.069308906,2.925042197,3.54603036,3.830294053,2.44271106,1.809292424,0.362030829,0.174746319,0.544411282,-0.08209459,-0.199995966,-0.0486503,-1.444139839,-2.267577378,0.078325187,
Chile,,1.6666422,1.577256947,0.975890295,1.898221842,1.452513113,2.492419057,2.055861862,2.01935036,2.71492041,2.072459687,2.740755044,2.321339062,1.390145442,1.37024134,-0.155327202,-0.941531438,-0.25586908,0.131037339,0.551530945,0.797948963,0.445827662,-1.002159201,-0.852847512,-0.537028503,1.065107325,1.318811938,0.937499265,0.800011079,0.891286937,0.6803204,0.854082534,3.48763998,4.528383247,4.616829967,5.511832922,5.805681723,5.94618685,5.608739668,4.691812978,4.813226348,4.440136664,3.549899241,3.334645577,3.351326472
China,,,1.067426045,1.072734373,1.994901974,2.455993794,2.105440285,1.297799395,-0.131571249,0.56445079,1.175771281,3.521354965,3.735135507,3.70684503,2.807778284,2.450154085,2.010231978,3.019254561,4.445310989,4.484072234,4.1516748,4.160799493,5.17813162,5.329730012,6.57107754,6.77813045,8.129523045,8.661455438,8.345300258,7.542783647,8.369731796,8.398918782,8.35738442,8.480072952,8.74293391,9.064785719,8.505742311,8.612312269,8.846654883,9.441410984,9.081771477,9.062602109,8.851791204,8.835665198,8.075128176
Colombia,1.303543867,1.500024706,1.430163338,1.127336375,1.234370702,1.032521321,1.230161797,1.561272147,1.858464087,1.941580915,2.143230567,2.369107682,2.538800959,2.893430637,2.779658339,2.99410636,3.104263579,3.120381354,3.532963122,3.48105788,3.350562298,2.895751786,2.332853874,1.842357907,1.711917344,1.729715627,1.746999192,1.84674809,1.400374821,1.21653952,1.216162457,1.256001085,1.492306847,1.711361954,1.805608826,2.001675764,1.953091521,1.898872882,1.656415895,1.272157999,1.113733922,0.987089178,0.904604305,0.857072518,
